model_name_or_path,label_mode,train_batch_size,accumulate_grad_batches,max_epochs,lr,frac_warmup_steps,weight_decay,random_seed,val_score1,val_score2,val_score3,val_score4,val_score_mean,val_loss,val_acc,val_f1,current_epoch,global_step
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.1,0.175,0.282051282051282,0.32432432432432434,0.2203439015939016,0.90814847,0.26627218934911245,0.024096385542168676,0,0
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.2627551020408163,0.4509283819628647,0.5492424242424236,0.6242424242424243,0.4717920831221322,0.61192065,0.768072976054732,0,0,10
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.4489795918367347,0.6591511936339522,0.7575757575757563,0.7909090909090909,0.6641539084888836,0.36942855,0.8262257696693273,0.5726970033296337,0,21
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.5153061224489796,0.7188328912466844,0.7926136363636356,0.821969696969697,0.7121805867572493,0.31363878,0.8519954389965793,0.5878750765462339,0,31
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.5918367346938775,0.7559681697612732,0.8124999999999999,0.8416666666666667,0.7504928927804544,0.2960163,0.8627137970353478,0.5879194630872483,0,42
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.6377551020408163,0.7639257294429708,0.8162878787878786,0.8378787878787879,0.7639618745376133,0.30296263,0.8558722919042189,0.5482912332838039,1,52
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.6403061224489796,0.7692307692307693,0.8191287878787875,0.843939393939394,0.7681512683744827,0.2813892,0.8716077537058152,0.6033670033670033,1,63
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.6122448979591837,0.7679045092838196,0.8257575757575754,0.843939393939394,0.762461594234993,0.2757733,0.8743443557582669,0.6025215660252157,1,73
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.6071428571428571,0.7559681697612732,0.8276515151515151,0.8424242424242424,0.758296696119972,0.27416277,0.8786773090079818,0.6227390180878553,1,84
bert-large-cased,major,8,8,10,5e-05,0.05,0.0,19,0.6275510204081632,0.7811671087533156,0.8238636363636359,0.8431818181818181,0.7689408959267332,0.29149154,0.8741163055872292,0.6130653266331658,2,94
